标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
春城精装修三房 温馨舒适大气 租的放心住的舒心 给您爱的精房,3室,2厅,138平米,1/11层,上海春城(南区),整租,朝南,无,6500,minhang安居客
虹景苑 精装大三房 家电家具全配 环境优美 安静舒适拎包即住,3室,2厅,126平米,3/6层,虹景苑,整租,南北,无,4300,minhang安居客
日式风格+全屋地暖+精装修+带两个车位+家具家电全新+随时看,3室,2厅,155平米,9/13层,名都城(一期),整租,南北,无,14000,minhang安居客
近地铁春申站 沁春园三村精装全配两房 毗邻莘庄镇小 拎包入住,2室,1厅,80平米,5/6层,沁春园三村,整租,南北,5号线,3600,minhang安居客
超出租 家具家电齐全 楼层低 价位低 交通便利,3室,1厅,17平米,5/22层,裕隆花园,整租,东南,无,1030,minhang安居客
星河湾二期B区4房 景观LOU层 一天没住过 长签5年,4室,2厅,220平米,25/30层,上海星河湾(二期),整租,南北,无,23000,minhang安居客
罗阳七村 精装两房 家电齐全 交通便利 干净整洁 看房随时,2室,1厅,73平米,3/6层,罗阳七村华宝小区,整租,朝南,1号线,3800,minhang安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,17平米,6/21层,龙柏四季花园,整租,东南,10号线,1530,minhang安居客
七仪花苑蛋壳公寓 别和好房擦肩而过  找房终结者！,1室,1厅,34平米,7/29层,宝仪花苑,整租,东南,9号线,2680,minhang安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,1室,1厅,25平米,11/22层,金汇花园一街坊,整租,东南,10号线,2380,minhang安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,1室,1厅,25平米,19/33层,众众德尚世嘉(别墅),整租,东南,5号线,2130,minhang安居客
宋园路 锦华公寓 3室厅2卫 南,3室,0厅,16平米,3/5层,锦华公寓,合租,朝南,9号线,2890,minhang安居客
星河湾闵行 豪装全配拎包即住 品质生活中心景观位置 可长签,4室,2厅,288平米,15/29层,上海星河湾(一期),整租,朝南,无,22000,minhang安居客
江南欣苑复式四房 豪装全配 178平景观房 随时看房拎包即住,4室,3厅,178平米,14/14层,江南欣苑,整租,南北,无,8000,minhang安居客
老闵行凤凰城、朝南主卧独立卫生间1500月真实价格、真实照片,3室,2厅,30平米,12/18层,凤凰城,合租,朝南,5号线,1500,minhang安居客
古美近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,19平米,20/30层,同济华城,合租,东南,9/12号线,1140,minhang安居客
万科朗润园近地铁站，适合上班精装豪配，随时看房,1室,1厅,26平米,20/27层,万科朗润园,整租,东南,9号线,2090,minhang安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,18平米,23/29层,上海康城,合租,东南,无,1180,minhang安居客
美英国际学校旁 电梯别墅 近出口中心位置 装修豪华看 房随时,4室,2厅,351平米,1/3层,瑞生花园,整租,南北,无,42000,minhang安居客
龙柏豪华两房近地.铁5Min中间楼层采光好急租 近爱琴海公园,2室,2厅,80平米,3/6层,龙柏四村,整租,朝南,10号线,5200,minhang安居客
华漕西郊九韵城蛋壳公寓入找房终结者 极速免费宽带，游戏畅玩,3室,1厅,65平米,18/24层,西郊九韵城,整租,朝南,无,3660,minhang安居客
浦江永康城佳兴苑小区房源 入住好礼 欧式装修 随时带看,3室,1厅,19平米,11/26层,永康城佳兴苑,整租,东南,无,1120,minhang安居客
花园式小区，环境优美，高区楼层，装修精致，采光好，随时入住,2室,2厅,118平米,12/16层,名都城(一期),整租,朝南,无,12000,minhang安居客
同济华城近地铁站，适合上班精装豪配，随时看房,3室,1厅,16平米,24/29层,同济华城,合租,东南,9/12号线,1130,minhang安居客
精装全配，采光好，双南两房一厅，中间楼层，近龙柏新村站,2室,2厅,80平米,3/6层,龙柏四村三小区,整租,朝南,10号线,5000,minhang安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,3室,1厅,21平米,13/28层,众众德尚世嘉(别墅),整租,东南,5号线,1250,minhang安居客
新华红星国际广场 办公都可以 欧式复式房，看房随时，爱情海,2室,2厅,100平米,5/9层,新华红星国际广场,整租,朝南,10号线,9000,minhang安居客
晶欣坊 免居间费 实体房间，精装修 拎包入住 交通方便,2室,2厅,20平米,4/28层,上海晶城晶欣坊,合租,朝南,无,1700,minhang安居客
"兰乔圣菲(1期),南北通透,不靠近马路,采光充足 ,房型正气",4室,2厅,300平米,1/2层,万科兰乔圣菲(北区),整租,南北,无,32000,minhang安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,16平米,19/31层,华菁公寓,合租,东南,10号线,1060,minhang安居客
"房东自住，次出租，闵行中心，靠近地铁1,5号线，随时看房",1室,1厅,45平米,3/6层,绿梅二村,整租,南北,无,2800,minhang安居客
房东个人出租地铁口精装次随时可以看房限住女生,4室,1厅,20平米,7/11层,名都新城(二期),合租,朝南,1/5号线,2280,minhang安居客
电梯房 精装全配 近地铁 楼层低 陪读或者带老人居家,3室,2厅,125平米,9/22层,阳光美景城(一期),整租,南北,1/12号线,10000,minhang安居客
8号线芦恒路 新出两房 南北通透家电家具齐全拎包入住看房随时,2室,1厅,80平米,18/24层,浦恒馨苑,整租,南北,无,4000,minhang安居客
绿梅精装两房整租，看房方便，房东诚意出租，近西子，近地铁,1室,1厅,58平米,4/6层,绿梅三村,整租,朝南,无,2900,minhang安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,19平米,11/24层,鸿禧花园,合租,东南,10号线,1560,minhang安居客
名都城 四季晶园 巴黎花园 罗马花园 美丽华花园 有钥匙可看,3室,2厅,138平米,8/12层,名都城(一期),整租,南北,无,13000,minhang安居客
精装全配，生活便利，多房源可供挑选，随时带看,1室,1厅,29平米,13/31层,日月华城,整租,东南,5号线,2630,minhang安居客
天南地北 海角天涯 不管在哪里 蛋壳都是你避风的港湾,3室,1厅,68平米,19/27层,万科城市花园,整租,东南,9/10号线,4730,minhang安居客
全新装修，免介绍费，诚意出租，随时可看、起租，品质住宅,2室,2厅,88平米,25/27层,翡翠名都,整租,南北,无,16000,minhang安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,1室,1厅,33平米,16/31层,上海康城,整租,东南,无,2980,minhang安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,59平米,19/24层,通河八村,整租,朝南,1号线,3480,baoshan安居客
大华三路 枫庭丽苑 4室厅2卫 南,4室,0厅,16平米,2/11层,枫庭丽苑,合租,朝南,无,2660,baoshan安居客
通河一村精装两室一厅电梯房厨卫新装家具家电全配近地铁随时看,2室,1厅,64平米,4/13层,通河一村,整租,朝南,1号线,4400,baoshan安居客
顾村好房出租 住的舒心 贴心管家 优惠多多,1室,1厅,25平米,14/22层,丽景花园,整租,东南,无,2330,baoshan安居客
上大瑞丰园精装修 欧洲现代风格 拎包入住,1室,1厅,22平米,23/30层,瑞丰园,整租,东南,7号线,2000,baoshan安居客
杨行杨泰二村环境优美，精致装修，近地铁站，随时看房,3室,1厅,46平米,22/33层,杨泰二村,整租,朝南,1号线,3040,baoshan安居客
首月租金立减800元 7号线上海大学朝南主卧带阳台 押一付一,3室,1厅,25平米,3/6层,上大聚丰园,合租,朝南,7号线,1800,baoshan安居客
上大上大阳光乾静园精装大标间 舒适温馨的布局 好楼层,1室,1厅,29平米,18/25层,上大阳光乾静园,整租,东南,7号线,2000,baoshan安居客
小高层电梯房 南北通户型 南北双阳台 小区绿化率高 安静舒适,1室,2厅,53平米,2/8层,古北菊翔苑(南区),整租,南北,7号线,3200,baoshan安居客
南陈路 经纬城市绿洲 3室厅2卫 南,3室,0厅,16平米,4/8层,经纬城市绿洲,合租,朝南,7号线,2030,baoshan安居客
月浦中冶尚园室友无不良嗜好速速来电干净整洁,3室,1厅,21平米,13/28层,中冶尚园,合租,东南,无,1040,baoshan安居客
大场梧桐城邦蛋壳公寓 别和好房擦肩而过  找房终结者！,1室,1厅,22平米,11/31层,梧桐城邦(三期),整租,东南,7号线,2210,baoshan安居客
月浦月浦九村婚房出租 全新全套家具家电 温馨舒适,3室,1厅,21平米,23/26层,月浦九村,整租,东南,无,1850,baoshan安居客
真实再租，婚装两年，房东去外地，诚租！！六楼不诚意勿骚扰,2室,1厅,62平米,6/6层,通河一村,整租,朝南,1号线,3500,baoshan安居客
盛世宝邸一期 2房2厅1卫 精装修拎包入住 初次出租 有钥匙,2室,2厅,90平米,14/18层,盛世宝邸(一期),整租,南北,3号线,6600,baoshan安居客
杨行东方丽都环境优美，精致装修，近地铁站，随时看房,3室,1厅,47平米,10/24层,东方丽都,整租,朝南,1号线,3180,baoshan安居客
淞南新城尚景交通便利，家电齐全 可整租可合租,1室,1厅,32平米,17/28层,新城尚景,整租,东南,无,3000,baoshan安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,54平米,13/27层,万业紫辰苑,整租,朝南,1/3号线,3200,baoshan安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,3室,1厅,21平米,11/32层,同泰北路401弄小区,合租,东南,3号线,1540,baoshan安居客
共康九英里蛋壳公寓直租 押一付一  交通便利拎包即住,3室,1厅,20平米,13/25层,九英里,合租,东南,1号线,1960,baoshan安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,17平米,20/26层,远景时代,整租,东南,7号线,1770,baoshan安居客
月浦新月丽苑精装电梯房，高品质服务，家具齐全，随时带看,3室,1厅,17平米,9/21层,新月丽苑,整租,东南,3号线,1240,baoshan安居客
大华大华二村三街坊蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,21平米,10/22层,大华二村三街坊,整租,东南,7号线,1640,baoshan安居客
首月立减600步行10Min到地铁口，30min到静安寺朝南,3室,1厅,12平米,6/18层,中怡家园,合租,朝南,7号线,1390,baoshan安居客
罗泾信达蓝庭好房出租 入住好礼 免费宽带 随时带看,3室,1厅,16平米,24/26层,信达蓝庭(别墅),整租,东南,无,1260,baoshan安居客
共康共康六村交通便利，家电齐全 可整租可合租,3室,1厅,16平米,24/26层,共康六村(北区),整租,东南,1号线,1200,baoshan安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,22平米,15/30层,中冶盘古馨苑,合租,东南,3号线,1530,baoshan安居客
蛋壳公寓直租 押一付一  房间实拍 温馨装修,3室,1厅,18平米,17/32层,杨泰苑,合租,东南,1号线,1370,baoshan安居客
直租无中介！真 实照片 押一付一 民用电 两房整租 拎包入住,2室,2厅,87平米,5/26层,保利叶上海(一期公寓),整租,东南,7号线,4200,baoshan安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,1室,1厅,24平米,11/24层,大华碧云天,整租,东南,无,2240,baoshan安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,3室,1厅,21平米,19/26层,远洋香奈,整租,东南,1号线,1540,baoshan安居客
入住减免2300 别和好房擦肩而过 享受居住乐趣,3室,1厅,24平米,6/22层,复星花园(一期),整租,东南,7号线,1580,baoshan安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,57平米,9/31层,宝林春天苑,整租,朝南,3号线,3430,baoshan安居客
近一号线共康站 万达 篮球公园 南北两室两厅 随时入住,2室,2厅,95平米,1/6层,美树铭家,整租,朝南,无,6000,baoshan安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,1室,1厅,34平米,17/27层,万临家园,整租,东南,3号线,2920,baoshan安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,3室,1厅,55平米,14/29层,淞南七村,整租,朝南,3号线,3180,baoshan安居客
共康宝宸共和家园近地铁站小区采光好，南北通透，随时看房,3室,1厅,60平米,19/32层,宝宸共和家园,整租,东南,1号线,3340,baoshan安居客
入住减免2300  房源实拍 颜控福利 温馨社区氛围 ,3室,1厅,19平米,15/21层,长江路68弄小区,整租,东南,3号线,1380,baoshan安居客
美树铭家 南北两室两厅 有钥匙，看房随时，停车方便干净整洁,2室,1厅,95平米,6/6层,美树铭家,整租,朝南,无,6000,baoshan安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,3室,1厅,18平米,6/22层,馨佳园四街坊,合租,东南,7号线,1070,baoshan安居客
大华，康泰新城，近，大华虎城，巴黎春天，精装全配，随时看房,3室,1厅,18平米,3/6层,康泰新城,合租,朝南,无,1500,baoshan安居客
首月减1200 七号线顾村公园 保利叶语三房整租 精装全配,3室,2厅,100平米,10/26层,保利叶语(二期),整租,南北,7号线,5200,baoshan安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,3室,1厅,19平米,23/29层,大华一村,整租,东南,7号线,1630,baoshan安居客
无论你在哪里，我都会给你温暖的家，我是蛋壳，我做的公寓您放心,3室,1厅,20平米,25/31层,新梅绿岛苑,合租,东南,1号线,1960,baoshan安居客
楼下就是大商场，小区出门就是地铁口，不选择蛋壳，我怕你后悔,3室,1厅,49平米,25/26层,宝林九村,整租,朝南,无,3100,baoshan安居客
大场梧桐城邦带飘窗单间，整洁舒适，配套齐全，随时看房,3室,1厅,16平米,9/28层,梧桐城邦(三期),合租,东南,7号线,1440,baoshan安居客
朝北次卧 精装修 有厨房 可以做饭 地铁旁边,3室,1厅,15平米,6/6层,通河四村,合租,朝南,1号线,1680,baoshan安居客
112平米的原始大三房，南北通透，观景效果超好,3室,2厅,112平米,16/18层,宝沁苑,整租,南北,7号线,4200,baoshan安居客
淞南万临家园环境优美，精致装修，近地铁站，随时看房,3室,1厅,66平米,12/22层,万临家园,整租,朝南,3号线,3650,baoshan安居客
1号线共康站.精装修.房子空关.随时看房.拎包入住，急租,2室,2厅,80平米,3/6层,共康五村,整租,南北,1号线,3600,baoshan安居客
坐公交，在转地铁？不，住蛋壳，分就让到地铁口,3室,1厅,21平米,8/29层,中冶祥腾宝月花园,合租,东南,无,1160,baoshan安居客
小区中心，5楼精装，房东到手价2900，近地铁商城，配套成熟,1室,1厅,42平米,4/6层,通河一村,整租,朝南,1号线,2900,baoshan安居客
蛋壳公寓直租 家具齐全 交通便利 押一付一,1室,1厅,29平米,13/20层,共富二村,整租,东南,1号线,2750,baoshan安居客
拖包搬家很累赘？选蛋壳啊！直接拎包入住，方便家具样样齐全,3室,1厅,20平米,21/23层,屹立家园,合租,东南,1号线,1950,baoshan安居客
淞南新梅淞南苑舒适两房 干净整洁 急租 拎包入住,3室,1厅,20平米,16/23层,新梅淞南苑,合租,东南,3号线,1900,baoshan安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,15平米,16/25层,宝山八村,整租,东南,3号线,1270,baoshan安居客
近地铁站，适合上班精装豪配，随时看房,3室,1厅,16平米,4/26层,丽景翠庭,整租,东南,1号线,1460,baoshan安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,50平米,21/23层,中冶盘古馨苑,整租,朝南,3号线,3390,baoshan安居客
大华二村精装2房  近地铁7号线  近大华虎城商圈  有钥匙,2室,1厅,65平米,3/6层,大华二村三街坊,整租,南北,7号线,5500,baoshan安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,31平米,14/25层,月浦六村,整租,东南,无,2510,baoshan安居客
蛋壳公寓 超享受！全新配置  一人一锁+安全巡查,3室,1厅,20平米,12/30层,田林十四村,整租,东南,9/12号线,1910,xuhui安居客
漕宝路地铁1/3/12号线 漕溪一村精装一室全装全配拎包入住,1室,1厅,40平米,3/6层,漕溪一村,整租,朝南,1/3/11/12号线,4200,xuhui安居客
